Gene,GC,AU,Length,Polar%,Non-Polar%
YDR251W   ,37.5      ,35.1      ,2493      ,27.4      ,72.6
YDR252W   ,39.6      ,37.8      ,450       ,22.7      ,77.3
YDR253C   ,37.2      ,40.6      ,576       ,22.2      ,77.8
YDR254W   ,35.1      ,36.0      ,1377      ,28.8      ,71.2
YDR255C   ,35.6      ,36.8      ,1266      ,27.6      ,72.4
YDR256C   ,42.4      ,30.7      ,1548      ,26.9      ,73.1
YDR260C   ,44.6      ,32.6      ,513       ,22.8      ,77.2
YDR263C   ,36.3      ,35.4      ,1293      ,28.3      ,71.7
YDR265W   ,38.9      ,32.2      ,1014      ,28.9      ,71.1
YDR266C   ,38.5      ,35.1      ,1920      ,26.4      ,73.6
YDR267C   ,42.0      ,29.8      ,993       ,28.2      ,71.8
YDR268W   ,39.2      ,33.0      ,1140      ,27.8      ,72.2
YDR270W   ,39.3      ,30.6      ,3015      ,30.1      ,69.9
YDR272W   ,39.8      ,34.1      ,825       ,26.2      ,73.8
YDR273W   ,39.7      ,36.8      ,1098      ,23.5      ,76.5
YDR275W   ,38.6      ,31.6      ,708       ,29.8      ,70.2
YDR276C   ,41.1      ,22.0      ,168       ,36.9      ,63.1
YDR277C   ,41.1      ,34.3      ,1302      ,24.6      ,75.4
YDR279W   ,36.2      ,36.3      ,1053      ,27.5      ,72.5
YDR280W   ,40.4      ,32.0      ,918       ,27.6      ,72.4
YDR281C   ,41.6      ,30.2      ,315       ,28.3      ,71.7
YDR282C   ,37.8      ,34.7      ,1245      ,27.5      ,72.5
YDR284C   ,39.9      ,27.1      ,870       ,33.0      ,67.0
YDR285W   ,34.6      ,42.6      ,2628      ,22.8      ,77.2
YDR286C   ,37.7      ,34.5      ,345       ,27.8      ,72.2
YDR287W   ,40.5      ,31.1      ,879       ,28.4      ,71.6
YDR288W   ,36.3      ,36.1      ,912       ,27.6      ,72.4
YDR292C   ,37.2      ,34.8      ,1866      ,28.0      ,72.0
YDR293C   ,40.1      ,33.5      ,3753      ,26.4      ,73.6
YDR294C   ,41.7      ,30.3      ,1770      ,28.0      ,72.0
YDR295C   ,37.5      ,37.3      ,2025      ,25.2      ,74.8
YDR296W   ,46.1      ,32.0      ,681       ,21.9      ,78.1
YDR297W   ,42.3      ,28.1      ,1050      ,29.6      ,70.4
YDR300C   ,39.3      ,32.4      ,1287      ,28.3      ,71.7
YDR301W   ,37.4      ,33.7      ,4074      ,28.9      ,71.1
YDR302W   ,35.8      ,28.5      ,660       ,35.8      ,64.2
YDR305C   ,38.1      ,33.5      ,743       ,28.4      ,71.6
YDR306C   ,36.9      ,33.1      ,1437      ,30.0      ,70.0
YDR307W   ,35.7      ,31.1      ,1989      ,33.2      ,66.8
YDR308C   ,36.6      ,37.6      ,423       ,25.8      ,74.2
YDR309C   ,41.5      ,32.6      ,1152      ,26.0      ,74.0
YDR310C   ,40.8      ,35.8      ,3189      ,23.5      ,76.5
YDR311W   ,37.9      ,36.3      ,1929      ,25.8      ,74.2
YDR312W   ,37.3      ,38.2      ,1362      ,24.5      ,75.5
YDR313C   ,41.5      ,32.9      ,861       ,25.7      ,74.3
YDR314C   ,35.5      ,36.7      ,2079      ,27.8      ,72.2
YDR315C   ,33.9      ,36.6      ,846       ,29.4      ,70.6
YDR318W   ,34.5      ,34.0      ,756       ,31.5      ,68.5
YDR319C   ,35.6      ,28.6      ,825       ,35.8      ,64.2
YDR320C   ,38.5      ,35.2      ,2007      ,26.3      ,73.7
YDR321W   ,40.8      ,29.0      ,1146      ,30.2      ,69.8
YDR326C   ,36.5      ,35.7      ,4317      ,27.8      ,72.2
YDR328C   ,47.5      ,31.6      ,585       ,20.9      ,79.1
YDR329C   ,41.5      ,33.7      ,1326      ,24.8      ,75.2
YDR331W   ,38.2      ,31.7      ,1236      ,30.1      ,69.9
YDR332W   ,36.4      ,35.7      ,2070      ,27.8      ,72.2
YDR333C   ,37.7      ,33.7      ,2172      ,28.7      ,71.3
YDR334W   ,38.1      ,36.4      ,4545      ,25.5      ,74.5
YDR336W   ,36.7      ,35.6      ,945       ,27.7      ,72.3
YDR337W   ,38.8      ,35.8      ,861       ,25.4      ,74.6
YDR338C   ,40.6      ,28.6      ,2088      ,30.8      ,69.2
YDR347W   ,41.4      ,32.6      ,966       ,26.0      ,74.0
YDR348C   ,42.5      ,32.9      ,1500      ,24.5      ,75.5
YDR351W   ,37.2      ,36.1      ,2595      ,26.7      ,73.3
YDR352W   ,41.5      ,28.7      ,954       ,29.8      ,70.2
YDR353W   ,45.6      ,29.2      ,960       ,25.2      ,74.8
YDR354W   ,42.4      ,28.5      ,1143      ,29.0      ,71.0
YDR356W   ,34.3      ,43.2      ,2835      ,22.6      ,77.4
YDR357C   ,35.5      ,39.8      ,369       ,24.7      ,75.3
YDR358W   ,39.4      ,35.5      ,1674      ,25.1      ,74.9
YDR359C   ,40.1      ,35.9      ,2880      ,24.0      ,76.0
YDR361C   ,37.0      ,35.6      ,852       ,27.5      ,72.5
YDR362C   ,39.7      ,32.2      ,2019      ,28.0      ,72.0
YDR364C   ,38.7      ,33.5      ,1368      ,27.9      ,72.1
YDR368W   ,40.1      ,30.2      ,939       ,29.6      ,70.4
YDR369C   ,36.7      ,35.9      ,2565      ,27.4      ,72.6
YDR372C   ,36.3      ,34.7      ,1038      ,29.0      ,71.0
YDR373W   ,37.9      ,31.9      ,573       ,30.2      ,69.8
YDR374C   ,33.4      ,38.1      ,921       ,28.4      ,71.6
YDR375C   ,41.3      ,31.9      ,1371      ,26.8      ,73.2
YDR377W   ,39.9      ,29.1      ,306       ,31.0      ,69.0
YDR378C   ,39.8      ,34.4      ,372       ,25.8      ,74.2
YDR379C   ,36.7      ,38.3      ,240       ,25.0      ,75.0
YDR379W   ,38.3      ,36.6      ,3030      ,25.0      ,75.0
YDR380W   ,38.6      ,31.4      ,1908      ,30.0      ,70.0
YDR383C   ,37.5      ,39.4      ,759       ,23.1      ,76.9
YDR384C   ,45.9      ,21.7      ,828       ,32.4      ,67.6
YDR385W   ,44.4      ,27.5      ,2529      ,28.1      ,71.9
YDR386W   ,37.3      ,36.5      ,1899      ,26.1      ,73.9
YDR387C   ,39.7      ,26.7      ,1668      ,33.6      ,66.4
YDR388W   ,45.6      ,30.4      ,1449      ,24.0      ,76.0
YDR389W   ,40.1      ,34.7      ,1965      ,25.3      ,74.7
YDR390C   ,37.3      ,34.1      ,1911      ,28.6      ,71.4
YDR391C   ,40.5      ,31.9      ,699       ,27.6      ,72.4
YDR392W   ,40.4      ,35.6      ,1014      ,24.0      ,76.0
YDR393W   ,37.5      ,37.9      ,1371      ,24.6      ,75.4
YDR394W   ,42.1      ,31.2      ,1287      ,26.7      ,73.3
YDR395W   ,37.0      ,31.7      ,2835      ,31.3      ,68.7
YDR397C   ,42.2      ,32.1      ,533       ,25.7      ,74.3
YDR398W   ,41.8      ,32.2      ,1932      ,26.0      ,74.0
YDR399W   ,41.1      ,32.1      ,666       ,26.7      ,73.3
YDR400W   ,39.7      ,31.0      ,1137      ,29.3      ,70.7
YDR402C   ,38.0      ,32.4      ,1470      ,29.7      ,70.3
YDR403W   ,37.2      ,31.8      ,1611      ,31.0      ,69.0
YDR404C   ,38.8      ,31.0      ,516       ,30.2      ,69.8
YDR405W   ,47.7      ,32.7      ,792       ,19.6      ,80.4
YDR408C   ,47.9      ,29.8      ,645       ,22.3      ,77.7
YDR409W   ,39.3      ,34.3      ,2715      ,26.4      ,73.6
YDR410C   ,37.6      ,27.2      ,720       ,35.1      ,64.9
YDR411C   ,44.1      ,27.3      ,1026      ,28.7      ,71.3
YDR412W   ,38.4      ,41.7      ,708       ,19.9      ,80.1
YDR416W   ,36.9      ,34.4      ,2580      ,28.6      ,71.4
YDR421W   ,38.8      ,35.3      ,2853      ,25.9      ,74.1
YDR422C   ,39.9      ,32.7      ,2592      ,27.4      ,72.6
YDR427W   ,33.7      ,34.9      ,1182      ,31.5      ,68.5
YDR428C   ,36.5      ,33.2      ,786       ,30.3      ,69.7
YDR429C   ,41.0      ,34.3      ,825       ,24.7      ,75.3
YDR430C   ,38.8      ,32.8      ,2970      ,28.4      ,71.6
YDR432W   ,47.9      ,29.2      ,1245      ,22.9      ,77.1
YDR434W   ,36.3      ,31.6      ,1605      ,32.1      ,67.9
YDR435C   ,40.4      ,30.5      ,987       ,29.1      ,70.9
YDR436W   ,44.0      ,30.4      ,2133      ,25.6      ,74.4
YDR437W   ,42.3      ,30.7      ,423       ,27.0      ,73.0
YDR438W   ,39.4      ,24.3      ,1113      ,36.3      ,63.7
YDR439W   ,36.5      ,39.3      ,1044      ,24.2      ,75.8
YDR440W   ,37.5      ,35.7      ,1749      ,26.8      ,73.2
YDR441C   ,41.9      ,27.8      ,546       ,30.2      ,69.8
YDR443C   ,38.8      ,34.2      ,4263      ,26.9      ,73.1
YDR444W   ,40.3      ,32.8      ,2064      ,26.9      ,73.1
YDR446W   ,36.6      ,40.9      ,909       ,22.4      ,77.6
YDR447C   ,39.2      ,32.8      ,725       ,28.0      ,72.0
YDR448W   ,41.4      ,33.9      ,1305      ,24.7      ,75.3
YDR449C   ,33.5      ,37.7      ,1323      ,28.8      ,71.2
YDR450W   ,38.4      ,32.9      ,876       ,28.8      ,71.2
YDR451C   ,42.7      ,33.4      ,1062      ,23.8      ,76.2
YDR452W   ,38.4      ,35.3      ,2025      ,26.3      ,73.7
YDR453C   ,41.6      ,30.1      ,591       ,28.3      ,71.7
YDR454C   ,40.8      ,30.9      ,564       ,28.4      ,71.6
YDR456W   ,38.4      ,26.9      ,1902      ,34.6      ,65.4
YDR458C   ,36.0      ,38.5      ,1992      ,25.5      ,74.5
YDR459C   ,40.2      ,28.7      ,1125      ,31.1      ,68.9
YDR463W   ,40.8      ,34.0      ,1734      ,25.2      ,74.8
YDR464W   ,39.7      ,39.2      ,4308      ,21.1      ,78.9
YDR465C   ,39.9      ,31.8      ,1239      ,28.3      ,71.7
YDR466W   ,38.8      ,35.9      ,2697      ,25.3      ,74.7
YDR468C   ,37.6      ,36.9      ,675       ,25.5      ,74.5
YDR469W   ,36.7      ,40.0      ,528       ,23.3      ,76.7
YDR473C   ,36.7      ,40.1      ,1410      ,23.1      ,76.9
YDR474C   ,42.4      ,32.7      ,2629      ,24.9      ,75.1
YDR476C   ,52.1      ,21.8      ,675       ,26.1      ,73.9
YDR477W   ,39.5      ,34.3      ,1902      ,26.2      ,73.8
YDR478W   ,38.5      ,37.0      ,597       ,24.5      ,75.5
YDR479C   ,39.7      ,31.7      ,1665      ,28.6      ,71.4
YDR480W   ,40.8      ,35.7      ,972       ,23.5      ,76.5
YDR481C   ,43.8      ,29.3      ,1701      ,26.9      ,73.1
YDR482C   ,51.5      ,33.3      ,408       ,15.2      ,84.8
YDR483W   ,39.9      ,31.5      ,1329      ,28.6      ,71.4
YDR484W   ,33.3      ,37.7      ,1926      ,29.0      ,71.0
YDR485C   ,38.6      ,38.7      ,2433      ,22.7      ,77.3
YDR486C   ,39.3      ,38.7      ,789       ,22.1      ,77.9
YDR487C   ,44.3      ,29.0      ,627       ,26.6      ,73.4
YDR488C   ,50.0      ,28.1      ,1602      ,21.9      ,78.1
YDR489W   ,38.8      ,33.3      ,885       ,27.9      ,72.1
YDR490C   ,42.7      ,32.0      ,2301      ,25.2      ,74.8
YDR492W   ,40.5      ,26.1      ,951       ,33.4      ,66.6
YDR493W   ,43.8      ,34.7      ,372       ,21.5      ,78.5
YDR494W   ,38.9      ,36.2      ,867       ,24.9      ,75.1
YDR497C   ,43.0      ,25.8      ,1755      ,31.2      ,68.8
YDR498C   ,42.4      ,32.0      ,1152      ,25.6      ,74.4
YDR502C   ,41.9      ,30.0      ,1155      ,28.1      ,71.9
YDR503C   ,40.1      ,28.8      ,825       ,31.0      ,69.0
YDR505C   ,37.1      ,34.6      ,2526      ,28.4      ,71.6
YDR508C   ,41.1      ,27.1      ,1992      ,31.8      ,68.2
YDR510W   ,43.1      ,33.3      ,306       ,23.5      ,76.5
YDR511W   ,42.5      ,33.8      ,402       ,23.6      ,76.4
YDR512C   ,41.3      ,33.2      ,564       ,25.5      ,74.5
YDR513W   ,38.4      ,32.9      ,432       ,28.7      ,71.3
YDR514C   ,39.2      ,34.7      ,1452      ,26.1      ,73.9
YDR515W   ,34.5      ,41.1      ,1344      ,24.3      ,75.7
YDR516C   ,44.0      ,28.3      ,1503      ,27.7      ,72.3
YDR517W   ,47.5      ,28.2      ,1119      ,24.2      ,75.8
YDR518W   ,38.3      ,31.8      ,1554      ,29.9      ,70.1
YDR519W   ,41.7      ,26.5      ,408       ,31.9      ,68.1
YDR520C   ,36.4      ,33.5      ,2319      ,30.1      ,69.9
YDR524C   ,35.7      ,34.0      ,1449      ,30.4      ,69.6
YDR525W   ,42.9      ,21.2      ,240       ,35.8      ,64.2
YDR527W   ,39.5      ,37.5      ,1320      ,23.0      ,77.0
YDR528W   ,38.4      ,35.1      ,1272      ,26.6      ,73.4
YDR529C   ,42.4      ,31.8      ,384       ,25.8      ,74.2
YDR530C   ,43.6      ,30.9      ,978       ,25.6      ,74.4
YDR531W   ,37.6      ,32.7      ,1104      ,29.7      ,70.3
YDR532C   ,33.9      ,40.8      ,1158      ,25.4      ,74.6
YDR533C   ,40.8      ,30.0      ,714       ,29.3      ,70.7
YDR538W   ,42.0      ,28.7      ,729       ,29.4      ,70.6
YEL001C   ,39.2      ,30.8      ,678       ,29.9      ,70.1
YEL002C   ,38.5      ,30.9      ,1293      ,30.5      ,69.5
YEL003W   ,31.5      ,43.0      ,372       ,25.5      ,74.5
YEL004W   ,35.2      ,30.4      ,1029      ,34.4      ,65.6
YEL015W   ,39.4      ,34.7      ,1656      ,26.0      ,74.0
YEL016C   ,40.5      ,32.3      ,1482      ,27.3      ,72.7
YEL019C   ,39.6      ,35.8      ,804       ,24.6      ,75.4
YEL020C   ,43.6      ,29.6      ,1683      ,26.7      ,73.3
YEL020W   ,41.7      ,37.1      ,264       ,21.2      ,78.8
YEL023C   ,37.2      ,33.6      ,2049      ,29.2      ,70.8
YEL024W   ,42.1      ,26.7      ,648       ,31.2      ,68.8
YEL025C   ,37.1      ,31.8      ,3567      ,31.0      ,69.0
YEL026W   ,40.7      ,28.9      ,381       ,30.4      ,69.6
YEL027W   ,42.9      ,17.4      ,483       ,39.8      ,60.2
YEL028W   ,40.5      ,31.2      ,462       ,28.4      ,71.6
YEL029C   ,37.7      ,31.5      ,939       ,30.8      ,69.2
YEL036C   ,46.6      ,30.7      ,1503      ,22.8      ,77.2
YEL037C   ,47.5      ,30.8      ,1197      ,21.7      ,78.3
YEL038W   ,46.3      ,26.9      ,726       ,26.9      ,73.1
YEL039C   ,40.4      ,35.7      ,342       ,24.0      ,76.0
YEL040W   ,42.2      ,27.8      ,1404      ,30.0      ,70.0
YEL041W   ,38.6      ,33.5      ,1488      ,27.8      ,72.2
YEL042W   ,41.0      ,29.0      ,1557      ,30.1      ,69.9
YEL043W   ,40.4      ,33.8      ,2871      ,25.8      ,74.2
YEL044W   ,47.7      ,31.3      ,501       ,21.0      ,79.0
YEL046C   ,47.3      ,26.6      ,1164      ,26.1      ,73.9
YEL047C   ,43.7      ,28.3      ,1413      ,28.0      ,72.0
YEL048C   ,34.2      ,32.2      ,459       ,33.6      ,66.4
YEL051W   ,38.9      ,34.6      ,771       ,26.5      ,73.5
YEL052W   ,41.7      ,29.0      ,1530      ,29.3      ,70.7
YEL053C   ,35.7      ,34.0      ,2202      ,30.3      ,69.7
YEL054C   ,42.6      ,30.7      ,498       ,26.7      ,73.3
YEL055C   ,36.6      ,34.7      ,3069      ,28.7      ,71.3
YEL056W   ,40.7      ,32.5      ,1206      ,26.8      ,73.2
YEL057C   ,35.3      ,36.2      ,702       ,28.5      ,71.5
YEL058W   ,45.9      ,26.8      ,1674      ,27.3      ,72.7
YEL059C   ,51.1      ,29.3      ,225       ,19.6      ,80.4
YEL060C   ,46.8      ,29.4      ,1908      ,23.8      ,76.2
YEL061C   ,35.2      ,39.7      ,3117      ,25.1      ,74.9
YEL062W   ,37.1      ,33.9      ,1875      ,29.1      ,70.9
YEL063C   ,41.1      ,26.2      ,1773      ,32.7      ,67.3
YEL064C   ,37.4      ,30.3      ,1443      ,32.4      ,67.6
YEL065W   ,40.1      ,26.6      ,1887      ,33.4      ,66.6
YEL066W   ,47.4      ,31.3      ,540       ,21.3      ,78.7
YER001W   ,37.9      ,34.2      ,2289      ,28.0      ,72.0
YER002W   ,37.9      ,40.9      ,696       ,21.1      ,78.9
YER003C   ,39.9      ,30.1      ,1383      ,30.0      ,70.0
YER004W   ,47.8      ,26.0      ,696       ,26.1      ,73.9
YER005W   ,41.1      ,30.1      ,1893      ,28.8      ,71.2
YER006W   ,39.7      ,34.1      ,1563      ,26.2      ,73.8
YER007C   ,38.1      ,32.2      ,649       ,29.7      ,70.3
YER007W   ,35.1      ,34.7      ,1557      ,30.2      ,69.8
YER008C   ,37.6      ,37.0      ,4011      ,25.4      ,74.6
YER009W   ,38.9      ,29.1      ,378       ,32.0      ,68.0
YER010C   ,41.1      ,30.9      ,705       ,27.9      ,72.1
YER011W   ,47.1      ,20.3      ,765       ,32.7      ,67.3
YER012W   ,39.0      ,32.5      ,597       ,28.5      ,71.5
YER013W   ,38.0      ,35.5      ,3438      ,26.6      ,73.4
YER014W   ,40.7      ,34.0      ,1620      ,25.4      ,74.6
YER015W   ,38.9      ,31.0      ,2235      ,30.1      ,69.9
YER016W   ,40.4      ,35.6      ,1035      ,24.1      ,75.9
YER017C   ,43.1      ,30.5      ,2286      ,26.4      ,73.6
YER018C   ,56.2      ,24.9      ,666       ,18.9      ,81.1
YER019C   ,44.2      ,28.8      ,267       ,27.0      ,73.0
YER019W   ,49.9      ,25.8      ,1434      ,24.3      ,75.7
YER020W   ,46.7      ,31.6      ,1350      ,21.6      ,78.4
YER021W   ,37.0      ,33.0      ,1572      ,30.0      ,70.0
YER022W   ,35.5      ,37.4      ,2064      ,27.1      ,72.9
YER023W   ,45.4      ,27.9      ,861       ,26.7      ,73.3
YER025W   ,40.4      ,31.0      ,1584      ,28.6      ,71.4
YER026C   ,39.8      ,27.3      ,831       ,32.9      ,67.1
YER027C   ,42.6      ,32.7      ,1254      ,24.7      ,75.3
YER028C   ,43.5      ,30.8      ,1185      ,25.7      ,74.3
YER029C   ,41.6      ,39.4      ,591       ,19.0      ,81.0
YER030W   ,38.7      ,43.5      ,483       ,17.8      ,82.2
YER031C   ,41.8      ,32.7      ,672       ,25.4      ,74.6
YER032W   ,38.4      ,36.0      ,2778      ,25.6      ,74.4
YER033C   ,39.1      ,35.2      ,3231      ,25.7      ,74.3
YER034W   ,46.4      ,35.7      ,558       ,17.9      ,82.1
YER035W   ,48.9      ,32.9      ,438       ,18.3      ,81.7
YER036C   ,40.9      ,30.5      ,1833      ,28.6      ,71.4
YER037W   ,37.6      ,35.4      ,966       ,27.0      ,73.0
YER038C   ,34.8      ,34.8      ,1395      ,30.5      ,69.5
YER039C   ,43.0      ,23.9      ,1026      ,33.1      ,66.9
YER040W   ,40.6      ,34.7      ,2193      ,24.7      ,75.3
YER041W   ,37.9      ,33.8      ,2280      ,28.3      ,71.7
YER042W   ,36.4      ,34.4      ,555       ,29.2      ,70.8
YER043C   ,43.4      ,26.7      ,1350      ,29.9      ,70.1
YER044C   ,39.1      ,28.2      ,447       ,32.7      ,67.3
YER045C   ,41.1      ,34.6      ,1470      ,24.3      ,75.7
YER046W   ,41.2      ,32.2      ,432       ,26.6      ,73.4
YER047C   ,40.0      ,35.6      ,2694      ,24.4      ,75.6
YER048C   ,40.3      ,36.4      ,1176      ,23.3      ,76.7
YER048W   ,36.1      ,37.9      ,285       ,26.0      ,74.0
YER049W   ,39.4      ,31.9      ,1935      ,28.6      ,71.4
YER050C   ,37.4      ,38.1      ,609       ,24.5      ,75.5
YER051W   ,37.4      ,33.7      ,1479      ,28.9      ,71.1
YER058W   ,42.6      ,38.3      ,324       ,19.1      ,80.9
YER059W   ,39.0      ,35.5      ,1263      ,25.5      ,74.5
YER062C   ,44.5      ,29.9      ,753       ,25.6      ,74.4
YER063W   ,41.7      ,37.3      ,657       ,21.0      ,79.0
YER064C   ,39.2      ,34.3      ,1518      ,26.5      ,73.5
YER065C   ,44.0      ,30.6      ,1674      ,25.4      ,74.6
YER066W   ,39.4      ,29.2      ,558       ,31.4      ,68.6
YER067W   ,38.9      ,35.4      ,486       ,25.7      ,74.3
YER068W   ,40.3      ,34.5      ,1764      ,25.2      ,74.8
YER069W   ,40.2      ,29.9      ,2592      ,29.8      ,70.2
YER070W   ,40.8      ,29.7      ,2667      ,29.5      ,70.5
YER071C   ,33.3      ,39.1      ,381       ,27.6      ,72.4
YER072W   ,41.8      ,25.9      ,390       ,32.3      ,67.7
YER078C   ,39.2      ,31.6      ,1536      ,29.2      ,70.8
YER079W   ,39.8      ,35.1      ,633       ,25.1      ,74.9
YER080W   ,37.3      ,36.0      ,1884      ,26.8      ,73.2
YER081W   ,39.0      ,31.1      ,1410      ,29.9      ,70.1
YER082C   ,40.5      ,35.4      ,1665      ,24.1      ,75.9
YER083C   ,45.5      ,28.5      ,924       ,26.1      ,73.9
YER085C   ,39.3      ,35.2      ,522       ,25.5      ,74.5
YER086W   ,41.1      ,27.7      ,1731      ,31.2      ,68.8
YER087C   ,39.8      ,29.3      ,249       ,30.9      ,69.1
YER087W   ,38.5      ,34.1      ,1731      ,27.4      ,72.6
YER088C   ,45.4      ,29.4      ,2013      ,25.3      ,74.7
YER089C   ,48.6      ,28.0      ,1395      ,23.4      ,76.6
YER090W   ,39.6      ,31.5      ,1524      ,28.9      ,71.1
YER091C   ,41.7      ,29.4      ,2304      ,28.9      ,71.1
YER092W   ,39.2      ,38.1      ,378       ,22.8      ,77.2
YER093C   ,37.4      ,35.5      ,4293      ,27.1      ,72.9
YER095W   ,46.7      ,26.7      ,1203      ,26.6      ,73.4
YER096W   ,40.4      ,30.3      ,1539      ,29.3      ,70.7
YER100W   ,40.0      ,33.7      ,753       ,26.3      ,73.7
YER101C   ,38.7      ,31.9      ,1293      ,29.5      ,70.5
YER102W   ,42.8      ,32.2      ,603       ,25.0      ,75.0
YER103W   ,42.8      ,31.9      ,1929      ,25.3      ,74.7
YER104W   ,40.5      ,35.1      ,627       ,24.4      ,75.6
YER105C   ,37.0      ,32.9      ,4176      ,30.1      ,69.9
YER106W   ,33.3      ,42.6      ,909       ,24.1      ,75.9
YER107C   ,41.7      ,31.2      ,1098      ,27.0      ,73.0
YER109C   ,41.6      ,34.8      ,2400      ,23.6      ,76.4
YER110C   ,39.9      ,29.8      ,3342      ,30.3      ,69.7
YER111C   ,34.6      ,39.9      ,3282      ,25.5      ,74.5
YER112W   ,34.8      ,42.2      ,564       ,23.0      ,77.0
YER113C   ,37.5      ,31.0      ,2121      ,31.5      ,68.5
YER114C   ,41.6      ,33.8      ,3123      ,24.6      ,75.4
YER115C   ,41.8      ,30.6      ,576       ,27.6      ,72.4
YER116C   ,43.0      ,35.5      ,825       ,21.5      ,78.5
YER117W   ,38.6      ,30.5      ,885       ,30.8      ,69.2
YER118C   ,39.7      ,31.2      ,1104      ,29.1      ,70.9
YER119C   ,46.3      ,23.4      ,1347      ,30.4      ,69.6
YER120W   ,45.6      ,31.2      ,735       ,23.3      ,76.7
YER122C   ,38.5      ,36.2      ,1482      ,25.3      ,74.7
YER123W   ,36.9      ,35.2      ,1575      ,27.9      ,72.1
YER124C   ,35.2      ,34.9      ,1722      ,29.9      ,70.1
YER125W   ,41.1      ,31.1      ,2430      ,27.8      ,72.2
YER126C   ,40.1      ,35.4      ,786       ,24.6      ,75.4
YER127W   ,42.1      ,35.8      ,1074      ,22.2      ,77.8
YER128W   ,39.7      ,39.1      ,612       ,21.2      ,78.8
YER129W   ,39.0      ,34.8      ,3429      ,26.2      ,73.8
YER130C   ,38.1      ,34.5      ,1332      ,27.4      ,72.6
YER131W   ,43.9      ,33.9      ,360       ,22.2      ,77.8
YER132C   ,39.3      ,33.4      ,5262      ,27.3      ,72.7
YER133W   ,35.9      ,30.7      ,1464      ,33.4      ,66.6
YER140W   ,37.6      ,33.3      ,1671      ,29.1      ,70.9
YER141W   ,41.0      ,28.4      ,1461      ,30.6      ,69.4
YER142C   ,36.3      ,36.4      ,891       ,27.4      ,72.6
YER143W   ,42.3      ,32.7      ,1287      ,25.0      ,75.0
YER144C   ,39.9      ,31.1      ,2418      ,29.0      ,71.0
YER145C   ,45.0      ,24.4      ,1215      ,30.6      ,69.4
YER146W   ,47.5      ,28.4      ,282       ,24.1      ,75.9
YER147C   ,46.2      ,29.3      ,1875      ,24.5      ,75.5
YER148W   ,40.0      ,33.3      ,723       ,26.7      ,73.3
YER149C   ,40.1      ,35.7      ,1263      ,24.1      ,75.9
YER155C   ,36.0      ,34.7      ,6504      ,29.3      ,70.7
YER156C   ,44.8      ,29.4      ,1017      ,25.8      ,74.2
YER164W   ,39.6      ,35.5      ,4407      ,24.9      ,75.1
YER165W   ,41.7      ,31.7      ,1734      ,26.6      ,73.4
YER167W   ,40.4      ,34.7      ,2556      ,24.9      ,75.1
YER168C   ,37.9      ,33.6      ,1641      ,28.5      ,71.5
YER169W   ,40.7      ,33.7      ,2391      ,25.6      ,74.4
YER170W   ,41.9      ,32.3      ,678       ,25.8      ,74.2
YER171W   ,37.1      ,33.6      ,2337      ,29.3      ,70.7
YER172C   ,37.1      ,33.7      ,6492      ,29.2      ,70.8
YER173W   ,38.3      ,34.9      ,1980      ,26.8      ,73.2
YER174C   ,39.6      ,33.3      ,735       ,27.1      ,72.9
YER175C   ,40.4      ,32.3      ,900       ,27.2      ,72.8
YER176W   ,39.5      ,37.2      ,3366      ,23.3      ,76.7
YER177W   ,45.8      ,28.9      ,804       ,25.4      ,74.6
YER178W   ,44.9      ,27.2      ,1332      ,27.9      ,72.1
YER179W   ,38.9      ,33.0      ,1097      ,28.1      ,71.9
YER183C   ,40.6      ,30.5      ,636       ,28.9      ,71.1
YER184C   ,38.2      ,31.4      ,2385      ,30.4      ,69.6
YER185W   ,37.4      ,27.3      ,912       ,35.3      ,64.7
YER186C   ,38.7      ,31.2      ,921       ,30.2      ,69.8
YER187W   ,44.1      ,27.8      ,984       ,28.0      ,72.0
YER189W   ,40.1      ,33.1      ,369       ,26.8      ,73.2
YFL001W   ,38.8      ,34.3      ,1329      ,26.9      ,73.1
YFL004W   ,37.3      ,33.7      ,2487      ,29.0      ,71.0
YFL005W   ,40.6      ,31.0      ,648       ,28.4      ,71.6
YFL006W   ,38.1      ,31.7      ,6431      ,30.2      ,69.8
YFL008W   ,35.8      ,39.2      ,3678      ,25.0      ,75.0
YFL009W   ,39.7      ,30.8      ,2340      ,29.6      ,70.4
YFL010C   ,50.0      ,26.9      ,636       ,23.1      ,76.9
YFL011W   ,41.1      ,25.9      ,1641      ,33.0      ,67.0
YFL012W   ,35.8      ,37.8      ,447       ,26.4      ,73.6
YFL013C   ,40.1      ,36.7      ,2079      ,23.3      ,76.7
YFL014W   ,48.2      ,33.0      ,330       ,18.8      ,81.2
YFL016C   ,46.9      ,30.3      ,1536      ,22.8      ,77.2
YFL017C   ,42.1      ,33.5      ,480       ,24.4      ,75.6
YFL017W   ,41.5      ,32.5      ,234       ,26.1      ,73.9
YFL023W   ,40.2      ,37.8      ,2391      ,22.0      ,78.0
YFL024C   ,38.1      ,36.9      ,2499      ,25.1      ,74.9
YFL025C   ,36.9      ,30.8      ,3090      ,32.3      ,67.7
YFL026W   ,37.8      ,29.8      ,1296      ,32.4      ,67.6
YFL027C   ,37.6      ,33.7      ,1494      ,28.8      ,71.2
YFL028C   ,39.4      ,31.7      ,870       ,28.9      ,71.1
YFL029C   ,41.5      ,31.9      ,1107      ,26.6      ,73.4
